Country,X,Y,Pop,GridDistCurrent,GridDistPlan,RoadDist,NightLights,TravelHours,GHI,WindVel,Hydropower,HydropowerDist,SubstationDist,LandCover,Elevation,Slope,SolarRestriction
Swaziland,3531.486328,-3140.875977,84.35614014,53.07580948,45.21255493,5.163100719,0,6,1900,6,2910.889893,37.13576126,42.95082474,8,236,2.92017746,1
Swaziland,3532.486328,-3140.875977,42.21950912,52.46865845,44.86347198,5.103358746,0,6,1900,6,2910.889893,38.04457474,42.27577209,8,224,1.137959242,1
Swaziland,3533.486328,-3140.875977,37.46258163,51.87368011,44.51439285,4.641803265,0,5,1883,6,2910.889893,38.95785522,41.61380005,10,249,2.438126087,1
Swaziland,3534.486328,-3140.875977,34.12118149,51.29130173,44.16530991,3.929721355,0,4,1883,6,2910.889893,39.87529755,40.96554565,9,329,13.65892887,1
Swaziland,3535.486328,-3140.875977,33.4114151,50.72195053,43.81622696,3.217650414,0,4,1883,6,158.0079956,40.32046509,40.33166885,8,475,23.48007011,1
Swaziland,3536.486328,-3140.875977,32.46993256,50.16607285,43.46714783,2.604358673,0,4,1883,6,158.0079956,39.57619858,39.71286011,8,316,4.017226696,1
Swaziland,3537.486328,-3140.875977,40.66275787,49.62412262,43.11806488,2.283001423,0,4,1874,6,158.0079956,38.84341812,39.10982895,8,381,16.0373497,1
Swaziland,3538.486328,-3140.875977,38.45361328,49.09656143,42.76898193,2.250623941,0,4,1874,6,158.0079956,38.12278748,38.52331924,8,435,10.83139038,1
Swaziland,3539.486328,-3140.875977,50.54941559,48.58385468,42.4199028,2.405776978,0,4,1874,6,158.0079956,37.41500473,37.95410156,9,394,10.6863699,1
Swaziland,3540.486328,-3140.875977,60.00429916,48.08647919,42.07081985,2.910082102,0,4,1874,6,158.0079956,36.72081375,37.40295792,9,365,8.125529289,1
Swaziland,3541.486328,-3140.875977,58.73919678,47.60491943,41.72174072,3.351518869,0,4,1874,6,158.0079956,36.04100037,36.87070465,8,379,7.430118084,0
Swaziland,3542.486328,-3140.875977,58.54309845,47.13965225,41.37265778,2.777951002,0,4,1874,6,158.0079956,35.37639618,36.35816956,8,315,6.568515778,0
Swaziland,3543.486328,-3140.875977,18.44496346,46.69117355,41.02357483,2.179247141,0,3,1874,6,158.0079956,34.72787094,35.86619568,8,280,7.424973488,0
Swaziland,3544.486328,-3140.875977,8.591135025,46.25996399,40.6744957,1.58054328,0,3,1874,6,158.0079956,34.09634018,35.39564514,8,264,1.732600927,1
Swaziland,3545.486328,-3140.875977,8.060522079,45.84651566,40.32541275,0.981839359,0,3,1874,6,158.0079956,33.48277283,34.94737625,8,224,2.745336771,1
Swaziland,3546.486328,-3140.875977,7.911851406,45.4513092,39.9763298,0.383135438,0,2,1874,6,5291.879883,32.64359665,34.52226257,8,223,2.228003263,0
Swaziland,3547.486328,-3140.875977,5.043715,45.0748291,39.62725067,0.215568468,6,2,1874,6,5291.879883,31.7873497,33.87122345,9,212,2.32587862,0
Swaziland,3548.486328,-3140.875977,5.756362915,44.71754456,39.27816772,0.746493042,7,2,1874,6,5291.879883,30.93972778,33.05722046,8,194,1.871824384,0
